year,average_annual_median_income,average_annual_cpi,income_normalized,cpi_normalized,real_income
2000,41990,172.2,1.0,1.0,24384.436701509872
2001,42230,177.1,1.0057156465825197,1.0284552845528456,23845.28514963298
2002,42410,179.9,1.0100023815194095,1.0447154471544717,23574.20789327404
2003,43320,184.0,1.0316742081447965,1.0685249709639955,23543.478260869564
2004,44330,188.9,1.0557275541795665,1.096980255516841,23467.44309158285
2005,46330,195.3,1.1033579423672304,1.1341463414634148,23722.47823860727
2006,48200,201.6,1.1478923553226958,1.1707317073170733,23908.73015873016
2007,50230,207.3,1.1962371993331746,1.2038327526132406,24230.583695127836
2008,50300,215.3,1.1979042629197427,1.2502903600464577,23362.74965164886
2009,49780,214.5,1.1855203619909502,1.245644599303136,23207.459207459207
2010,49280,218.1,1.1736127649440342,1.2665505226480838,22595.139844108206
2011,50050,224.9,1.1919504643962848,1.3060394889663183,22254.335260115608
2012,51020,229.6,1.2150512026673017,1.3333333333333335,22221.2543554007
2013,53590,233.0,1.2762562514884497,1.3530778164924506,23000.0
2014,53660,236.7,1.2779233150750178,1.3745644599303135,22670.046472327842
2015,56520,237.0,1.346034770183377,1.3763066202090593,23848.101265822785
2016,59040,240.0,1.4060490592998334,1.3937282229965158,24600.0
2017,61140,245.1,1.4560609668968802,1.4233449477351916,24944.920440636473
2018,63180,251.1,1.5046439628482973,1.4581881533101047,25161.290322580644
2019,68700,255.7,1.636103834246249,1.4849012775842045,26867.422761048103
2020,68010,258.8,1.6196713503215052,1.5029036004645762,26278.979907264296
2021,70780,271.0,1.6856394379614195,1.5737514518002325,26118.08118081181
2022,74580,292.7,1.7761371755179804,1.699767711962834,25480.01366586949
2023,80610,304.7,1.9197427959037867,1.7694541231126597,26455.53002953725
